"flag","nick_name","flavor_name","flavor_text",
"$EN_DARK ATTACKER_LOWXP","SHADOW BOXER","Темный вурдалак","Темный атакующий загробник|Газы накапливаются в животе загробника и выделяются через поры в коже, окружая толстое существо вредным плотным облаком, делая его менее заметным и запутывая жертв.",
"$EN_ATTACKER_W_LOWXP","FIGHTER","Речной вурдалак","Атакующий водный загробник|Ходят слухи о зловонных трупах, изобилующих в преисподней, выходящих из воды и нападающих на измученных жаждой деревенских жителей.
Никто не осмеливается подойти к воде в одиночку и только безумец рискнет плавать.",
"$EN_ARMORED ATTACKER_LOWXP","FIGHTER","Сумасшедший рыцарь","Атакующий бронированный загробник|Эти падшие рыцари ужасны и сильны.
Их неземные крики эхом разносятся по катакомбам и всей пустоши.",
"$EN_RAPID_ATTACKER_LOWXP","RAPID ATTACK","","",
"$EN_APC_LOWXP","SPLITTER","Чудовище","Порождает потомство|Эти раздутые трупы едва могут двигаться и выглядят, словно готовы лопнуть в любой момент.
Несколько рядов зубов торчат во все стороны изо рта. Они настолько большие, что вряд ли ими можно пожирать, тем более закрыть рот.",
"$EN_APC_W_LOWXP","SPLITTER","Зловонный труп","Порождает водное потомство|От этих загробников несет как от мешка гнилой рыбы, который выкинули в канализацию и там оставили разлагаться.
Они легко передвигаются по воде и могут лопнуть в любой момент.",
"$EN_ARMORED APC_LOWXP","ARMORED SPLIT","Панцирный зверь","Порождает панцирное потомство|Гигантский панцирь защищает этот чудовищный шар переваривающейся плоти.
Многие считают, что у него не осталось костного скелета.",
"$EN_DOUBLE APC_LOWXP","DOUBLE SPLIT","Мерзость","Порождает плюющееся потомство|Этот странный монстр обесцвечен и сильно раздут.
Что бы это значило?",
"$EN_ARMORED RANGED ATTACKER_LOWXP","RANGED","Рыцарь-змей","Плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_RANGED ATTACKER_LOWXP","RANGED","Змей-вурдалак","Плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_RANGED ATTACKER_W_LOWXP","RANGED","Змей-вурдалак","Водный плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_DARK_LOWXP","DARK","Теневой червь","Быстрое темное порождение|Эти черви окутаны густым черным туманом, из-за которого в них почти невозможно попасть.",
"$EN_BRUTE_LOWXP","TOUGH","Смертельный червь","Сильное порождение загробник|Эти бледные и червеобразные существа медленно двигаются и имеют очень прочную кожу, вместо хрупкой наружной мембраны.
Хотя их легко обогнать, они обычно настигают свою добычу за счет неустанного и бесконечного преследования.",
"$EN_APC_NOATTACK_LOWXP","SPLITTER","Чудовище","Порождает потомство|Эти раздутые трупы едва могут двигаться и выглядят, словно готовы лопнуть в любой момент.
Несколько рядов зубов торчат во все стороны изо рта. Они настолько большие, что вряд ли ими можно пожирать, тем более закрыть рот.",
"$EN_CULTIST_NOATTACK_LOWXP","CULTIST","Сектант","Превращенный сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_ERROR","ERROR","Ошибка","Я ошибка|Если вы читаете этот текст, значит, кто-то ошибся в наборе данных. Этого врага мы показываем, когда невозможно найти нужного",
"$EN_SHEEP","SHEEP","Овца","Вкусное млекопитающее|Драконы могут обходиться без еды в течение многих лет, но когда едят, то съедают за день объем, во много раз превышающий их массу. Этот факт приносит большое неудобство для пастухов-кочевников и их стад.",
"$EN_PSI SHEEP","SHEEP","Овца","Вкусное млекопитающее|Драконы могут обходиться без еды в течение многих лет, но когда едят, то съедают за день объем, во много раз превышающий их массу. Этот факт приносит большое неудобство для пастухов-кочевников и их стад.",
"$EN_SPEEDY SHEEP","SPEEDY SHEEP","Быстрая овца","Быстрое вкусное млекопитающее|Некоторые овцы приспособились к неблагоприятным условиям в преисподней и развили сильную мускулатуру. Конечно, от дракона они не убегут, зато обгонят других овец.",
"$EN_SUPER SHEEP","SUPER SHEEP","Супер-баран","Мифическое вкусное млекопитающее|Драконьи легенды повествуют о редкой овце, Аксксима Ватта Муттанаксксор, с приглушенным, почтительным тоном, а в священных писаниях драконов подробно описывается ритуал, который будет выполнен при ее прибытии. Традиционно священные писания драконов считаются религиозным текстом, но последние изыскания показывают, что это скорее поваренная книга.",
"$EN_OZIMAL","OZIMAL","Озимал Каз","Раб-загробник|Волшебники вроде Зелемира славились превращением здоровых, живых существ прямо в рабов-нежить.
Заклинание требует времени для подготовки, так как волшебник должен вводить специальный яд в еду субъекта в течение нескольких дней.
Эта мера – страховка на тот случай, если последователи волшебника обернутся против него.",
"$EN_TWIN","TWIN","Близнец","Брат-загробник|БЛАРГХ ЯААААРГХ ГАР ГАР ХУР.",
"$EN_3_11_BOSS","BOSS","","",
"$EN_RIGHT_INDEX_FINGER","INDEX FINGER","Указательный палец","Чудовищный палец|Хотя отделен от своей руки, этот палец движется по своей собственной воле.",
"$EN_RIGHT_THUMB","THUMB","Большой палец","Чудовищный большой палец|Хотя отделен от своей руки, этот палец движется по своей собственной воле.",
"$EN_RIGHT_MIDDLE_FINGER","MIDDLE FINGER","Средний палец","Чудовищный палец|Этот оторванный палец, кажется, делает непристойный жест. Как грубо!",
"$EN_RIGHT_RING_FINGER","RING FINGER","Безымянный палец","Чудовищный палец|Хотя отделен от своей руки, этот палец движется по своей собственной воле.",
"$EN_RIGHT_PINKY_FINGER","PINKY FINGER","Мизинец","Чудовищный палец|Хотя отделен от своей руки, этот палец движется по своей собственной воле.",
"$EN_RIGHT_EYE","EZTLI'S EYE","Око Эзтли","Чудовищный глаз|Этот злобный глаз сияет темной силой и движется с неимоверной быстротой.",
"$EN_RIGHT_HAND","EZTLI'S HAND","Рука Эзтли","Чудовищная рука|Лидер сектантов назвал это чудовище: ''Правая рука Эзтли-Теноха.'' Учитывая то, как мало известно об Эзтли-Тенохе, неизвестно, принадлежит ли эта рука самому Мастеру или ее просто создали при помощи темной магии. При ближайшем рассмотрении, видно, что это ЛЕВАЯ рука. Вот же жуть.",
"$EN_FINGER","EZTLI'S FINGER","","",
"$EN_ZELEMIR-CITADEL","ZELEMIR","Зелемир","Колдун-некромант|Глаза Зелемира светятся непоколебимой решимостью.",
"$EN_ZELEMIR","ZELEMIR","Зелемир","Колдун-некромант|Глаза Зелемира светятся непоколебимой решимостью.",
"$EN_HEALIE","HEALIE","Лечилка","Секретный босс|Описание",
"$EN_MEANIE","MEANIE","Жадина","Секретный босс|Описание",
"$EN_STEALY","STEALY","Воришка","Секретный босс|Описание",
"$EN_CRAZY","CRAZY","Псих","Секретный босс|Описание",
"$EN_EZTLI","EZTLI-TENOCH","Эзтли-Тенох","Древний легендарный колдун|Древняя сила, дремлющая веками, теперь пробудилась. Эзтли-Тенох, некогда управлявший миром, был известен как самопровозглашенный Божественный король. Его сила и злоба сравнимы лишь с непоколебимым терпением.",
