flag	nick_name	flavor_name	flavor_text
$EN_ATTACKER_W	흉포한	강의 구울	흉포한 물귀신 망령|악취를 풍기는 시체들이 물가에서 목마른 주민들을 습격하여, 구덩이로 끌고 들어간다는 소문이 떠돌고 있습니다. 물가에 혼자 다니는 사람은 없으며, 미친 사람이 아니면 수영할 엄두도 내지 않습니다.
$EN_ARMORED ATTACKER	흉포한	미친 기사	흉포한 중무장 망령|기사는 죽더라도 그 힘과 투지는 여전합니다.<N>이들의 음울한 울부짖음은 지하 무덤을 넘어 황무지 전체로 울려 퍼집니다.
$EN_RAPID_ATTACKER	재빠른 공격	
$EN_APC	분열	흉물	기생충 숙주|이 부풀어 오른 시체들은 거의 움직이지도 못하며 금세라도 폭발할 것처럼 보입니다. 이빨이 빽빽한 입들이 여기저기서 튀어나오기 시작했습니다. 이들은 너무 거대해 밀어내거나 삼키지도 못할 지경입니다.
$EN_APC_W	분열	악취나는 시체	물귀신 기생충 숙주|이 망령들은 오물 속에서 썩은 생선 냄새와 죽음의 냄새를 풍깁니다. 이들은 그냥 물에 떠 있으며, 금세라도 폭발할 것처럼 보입니다.
$EN_ARMORED APC	중무장 분열	껍질 야수	중무장 기생충 숙주|거대한 갑각이 이 괴물 같은 살덩이를 보호하고 있습니다. 몇몇 사람들은 이 괴물에게 뼈도 남아있지 않을 것이라 추측하고 있습니다.
$EN_DOUBLE APC	2회 분열	살덩이괴물	분열하는 기생충 숙주|이 괴상한 괴물은 신체가 부풀어있을 뿐만 아니라, 몸의 색도 변색되어 있습니다. 대체 무슨 일이 일어난 걸까요?
$EN_ARMORED RANGED ATTACKER	원거리	뱀 구울	타액을 뱉는 망령|몇 주 전부터 망령들의 신체에서 괴상한 반응이 일어나 그 자신의 몸을 소화시키며 변형하기 시작했습니다. 눈알이 없는 ""뱀 인간""이 독성 체액을 뱉는 공격을 해왔다는 보고가 들어오고 있습니다.
$EN_RANGED ATTACKER	원거리	뱀 구울	타액을 뱉는 망령|몇 주 전부터 망령들의 신체에서 괴상한 반응이 일어나 그 자신의 몸을 소화시키며 변형하기 시작했습니다. 눈알이 없는 ""뱀 인간""이 독성 체액을 뱉는 공격을 해왔다는 보고가 들어오고 있습니다.
$EN_RANGED ATTACKER_W	원거리	물뱀 구울	타액을 뱉는 물귀신 망령|몇 주 전부터 망령들의 신체에서 괴상한 반응이 일어나 그 자신의 몸을 소화시키며 변형하기 시작했습니다. 눈알이 없는 ""뱀 인간""이 독성 체액을 뱉는 공격을 해왔다는 보고가 들어오고 있습니다.
$EN_DARK	어둠의	그늘진 벌레	재빠른 어둠 속 기생충|이 벌레들은 짙은 검은색 안개에 둘러싸여 있어, 공격하기가 거의 불가능합니다.
$EN_BRUTE	단단함	죽음의 벌레	단단한 망령 기생충|이 창백하고 벌레 같은 생물은 천천히 움직이며, 연약한 외부 조직 대신에 단단하고 질긴 피부를 가지고 있습니다. 속도가 느린 탓에 쉽게 달아날 수 있지만, 이들은 그들의 먹이를 끈질기고 끝이 없는 추격을 통하여 이를 극복해냅니다.
$EN_NORMAL_LOWXP	일반	망령	움직이는 시체|시체들은 종종 죽은 지 며칠 후에 구덩이에서 다시 일어납니다. 이런 괴물들은 ""다시 돌아온 자""라는 의미의 ""망령""이라고 알려져 있습니다.
$EN_CULTIST_LOWXP	광신도	광신도	변이된 광신도|'미친 피의 교단'은, 방혈 의식을 행한다고 알려진 한 방랑자 종파에서부터 시작되었습니다. 그 신앙이 '에즈틀리-테노크'란 유일신적 존재에 대한 숭배로 이어지면서, 이들은 다른 부족들을 습격하기 시작했습니다. 이러한 정보는 게카 부족 학살의 생존자들로부터 얻어낸 것입니다. 이 종파의 광신도들이 스스로의 의지로 망령으로 변이하고 있다는 수많은 보고들이 들어오고 있습니다.
$EN_ARMORED CULTIST_LOWXP	광신도 사제	광신도 사제	광신도 사제|'미친 피의 교단'은, 방혈 의식을 행한다고 알려진 한 방랑자 종파에서부터 시작되었습니다. 그 신앙이 '에즈틀리-테노크'란 유일신적 존재에 대한 숭배로 이어지면서, 이들은 다른 부족들을 습격하기 시작했습니다. 이러한 정보는 게카 부족 학살의 생존자들로부터 얻어낸 것입니다. 이 종파의 광신도들이 스스로의 의지로 망령으로 변이하고 있다는 수많은 보고들이 들어오고 있습니다.
$EN_NORMAL_W_LOWXP	일반	수생 괴물	물귀신 망령|이 망령들은 신체에서 방수성의 끈적한 점액을 분비합니다. 뱃속에는 유독성 기체가 가득 차 있어 시체가 가라앉지 못하도록 합니다.
$EN_ARMORED_LOWXP	중무장한	타락한 기사	중무장 망령|이 망령들은 생전의 전투에서 패배한 기사들이었습니다. 비록 살아있던 시절의 기술이나 지식은 가지고 있지 않으나, 그 갑옷만은 아직 걸치고 있습니다.
$EN_SPEEDY_LOWXP	신속	벌레	재빠른 망령 기생충|재빠른 몸놀림을 가진 이 벌레 같은 생명체들은 날카로운 이빨을 가지고 있습니다. 목격자들에 따르면 이 벌레들은 몇 주 동안이나 부패한 망령들의 몸에서 터져나온다고 합니다.
$EN_SPEEDY_W_LOWXP	신속	바다뱀	재빠른 물귀신 기생충|혹자는 이 물귀신 망령 벌레들이 물위에서 떠다니던 인간 망령들에서 떨어져 나온 것이라 설명합니다. 다른 이들은 이 벌레들이 물고기나 물뱀의 시체에서 기생하던 것이라 생각하고 있습니다.
$EN_ARMORED SPEEDY_LOWXP	신속	껍질 벌레	재빠른 중무장 기생충|이 망령 벌레들은 두꺼운 껍질을 두르고 있습니다. 많은 이들이 그 껍질은 원래 숙주의 뼈로 이루어진 것이라 추측합니다.
$EN_ARMORED_SPEEDY_W_LOWXP	신속	껍질 바다뱀	재빠른 중무장 물귀신 기생충|이 수생(水生) 망령 벌레들은 이제 두꺼운 갑각과 잠영 능력까지 발달시켰습니다. 썩어가는 뼈가 풍기는 냄새와 유독성 가스의 위력은 압도적입니다.
$EN_ATTACKER_LOWXP	흉포한	미친 구울	흉포한 망령|몇몇 망령들은 다른 괴물들에 비해 훨씬 공격적입니다. 일반적인 망령들이 단순히 희생자 하나만을 쫓아다니는 데 반해, 이들은 눈에 보이는 모든 것을 공격한다고 알려져 있습니다.
$EN_DARK ATTACKER_LOWXP	그림자 싸움꾼	어둠의 구울	어둠 속 흉포한 망령|망령의 뱃속에 가득 찬 가스가 피부를 통해 새어 나와, 짙은 유독성 안개를 형성하여 망령의 모습을 둘러싸버립니다. 희생자는 이 압도적인 가스 속에서 시야마저 잃은 채 혼란에 빠지게 됩니다.
$EN_ATTACKER_W_LOWXP	흉포한	강의 구울	흉포한 물귀신 망령|악취를 풍기는 시체들이 물가에서 목마른 주민들을 습격하여, 구덩이로 끌고 들어간다는 소문이 떠돌고 있습니다. 물가에 혼자 다니는 사람은 없으며, 미친 사람이 아니면 수영할 엄두도 내지 않습니다.
$EN_ARMORED ATTACKER_LOWXP	흉포한	미친 기사	흉포한 중무장 망령|기사는 죽더라도 그 힘과 투지는 여전합니다.<N>이들의 음울한 울부짖음은 지하 무덤을 넘어 황무지 전체로 울려 퍼집니다.
$EN_RAPID_ATTACKER_LOWXP	재빠른 공격	
$EN_APC_LOWXP	분열	괴수	기생충 숙주|이 부풀어 오른 시체들은 거의 움직이지도 못하며 금세라도 폭발할 것처럼 보입니다. 이빨이 빽빽한 입들이 여기저기서 튀어나오기 시작했습니다. 이들은 너무 거대해 밀어내거나 삼키지도 못할 지경입니다.
$EN_APC_W_LOWXP	분열	악취나는 시체	물귀신 기생충 숙주|이 망령들은 오물 속에서 썩은 생선 냄새와 죽음의 냄새를 풍깁니다. 이들은 그냥 물에 떠 있으며, 금세라도 폭발할 것처럼 보입니다.
$EN_ARMORED APC_LOWXP	중무장 분열	껍질 야수	중무장 기생충 숙주|거대한 갑각이 이 괴물 같은 살덩이를 보호하고 있습니다. 몇몇 사람들은 이 괴물에게 뼈도 남아있지 않을 것이라 추측하고 있습니다.
$EN_DOUBLE APC_LOWXP	2회 분열	살덩이괴물	분열 기생충 숙주|이 괴상한 괴물은 신체가 부풀어있을 뿐만 아니라, 몸의 색도 변색되어 있습니다. 대체 무슨 일이 일어난 걸까요?
$EN_ARMORED RANGED ATTACKER_LOWXP	원거리	뱀 기사	타액을 뱉는 망령|몇 주 전부터 망령들의 신체에서 괴상한 반응이 일어나 그 자신의 몸을 소화시키며 변형하기 시작했습니다. 눈알이 없는 ""뱀 인간""이 독성 체액을 뱉는 공격을 해왔다는 보고가 들어오고 있습니다.
$EN_RANGED ATTACKER_LOWXP	원거리	뱀 구울	타액을 뱉는 망령|몇 주 전부터 망령들의 신체에서 괴상한 반응이 일어나 그 자신의 몸을 소화시키며 변형하기 시작했습니다. 눈알이 없는 ""뱀 인간""이 독성 체액을 뱉는 공격을 해왔다는 보고가 들어오고 있습니다.
$EN_RANGED ATTACKER_W_LOWXP	원거리	거대 뱀 구울	타액을 뱉는 물귀신 망령|몇 주 전부터 망령들의 신체에서 괴상한 반응이 일어나 그 자신의 몸을 소화시키며 변형하기 시작했습니다. 눈알이 없는 ""뱀 인간""이 독성 체액을 뱉는 공격을 해왔다는 보고가 들어오고 있습니다.
$EN_DARK_LOWXP	어둠	그늘진 벌레	재빠른 어둠 속 기생충|이 벌레들은 짙은 검은색 안개에 둘러싸여 있어, 공격하기가 거의 불가능합니다.
$EN_BRUTE_LOWXP	단단함	죽음의 벌레	단단한 망령 기생충|이 창백하고 벌레 같은 생물은 천천히 움직이며, 연약한 외부 조직 대신에 단단하고 질긴 피부를 가지고 있습니다. 속도가 느린 탓에 쉽게 달아날 수 있지만, 이들은 그들의 먹이를 끈질기고 끝이 없는 추격을 통하여 이를 극복해냅니다.
$EN_APC_NOATTACK_LOWXP	분열	괴수	기생충 숙주|이 부풀어 오른 시체들은 거의 움직이지도 못하며 금세라도 폭발할 것처럼 보입니다. 이빨이 빽빽한 입들이 여기저기서 튀어나오기 시작했습니다. 이들은 너무 거대해 밀어내거나 삼키지도 못할 지경입니다.
$EN_CULTIST_NOATTACK_LOWXP	광신도	광신도	변이된 광신도|'미친 피의 교단'은, 방혈 의식을 행한다고 알려진 한 방랑자 종파에서부터 시작되었습니다. 그 신앙이 '에즈틀리-테노크'란 유일신적 존재에 대한 숭배로 이어지면서, 이들은 다른 부족들을 습격하기 시작했습니다. 이러한 정보는 게카 부족 학살의 생존자들로부터 얻어낸 것입니다. 이 종파의 광신도들이 스스로의 의지로 망령으로 변이하고 있다는 수많은 보고들이 들어오고 있습니다.
$EN_ERROR	에러	에러	나 에러임|이 메시지를 읽고 있다면. 개발 과정에서 누군가 적 정보를 쓰다 오타를 냈단 얘깁니다. 원래 나올 놈을 못 찾을 때 땜질로 나오는 애를 보고 계십니다.
$EN_SHEEP	양	양	먹음직스러운 포유류|용은 몇 년 동안이나 아무것도 먹지 않고도 살 수 있습니다. 하지만 일단 먹기 시작하면 하룻밤에 몸집을 몇 배로 불릴 정도로 먹어대죠. 이런 사실은 떠돌이 양치기와 그 양떼들에게는 굉장히 곤혹스럽습니다.
$EN_PSI SHEEP	양	양	먹음직스러운 포유류|용은 몇 년 동안이나 아무것도 먹지 않고도 살 수 있습니다. 하지만 일단 먹기 시작하면 하룻밤에 몸집을 몇 배로 불릴 정도로 먹어대죠. 이런 사실은 떠돌이 양치기와 그 양떼들에게는 굉장히 곤혹스럽습니다.
$EN_SPEEDY SHEEP	빠른 양	빠른양	재빠르게 먹음직스러운 포유류|몇몇 양들은 구덩이의 적대적인 환경에 적응하여, 꽤 발달된 근육과 상당한 반응 속도를 가지게 되었습니다. 그래 봐야 용에게서 도망치기엔 어림도 없지만, 최소한 다른 양들을 제치고 달릴 수는 있게 되었습니다.
$EN_SUPER SHEEP	슈퍼 양	슈퍼양	신비롭게 먹음직스러운 포유류|용의 전설에서는 Axxima Vatta Muttanaxxor라는 희귀종 양에 대해 숨죽인 목소리로 경외를 담아 노래하는 구절이 나옵니다. 또한 신성한 용의 저작에서도 이 양의 도래를 위해 치러야 할 숭고한 의식에 대해 자세하게 논하는 대목이 출현합니다. 구 학계에서는 이 용의 저작을 종교적인 서적으로 분류했습니다. 하지만 현재 학계에서 떠오르는 새로운 학설은 이건 그냥 요리책이라 주장하고 있습니다.
$EN_OZIMAL	오지말	오지말 카즈	망령 노예|젤레마 같은 마법사들은 건강한 생명체조차 언데드 노예로 탈바꿈시킬 수 있다고 알려져 있습니다. 이 주문의 시전을 위해선 며칠간 목표가 먹을 음식에 특별한 독을 타는 등의 준비와 시간이 필요합니다. 이 주문은 마법사의 추종자들이 자신을 배신할 때를 대비하는 보험으로 쓰이기도 합니다.
$EN_TWIN	쌍둥이	쌍둥이	망령 형제|블라악 아아앍 그아아앗
$EN_3_11_BOSS	보스	
$EN_RIGHT_INDEX_FINGER	검지	검지	괴물 검지|손에서 떨어져 나왔지만 여전히 움직입니다.
$EN_RIGHT_THUMB	엄지	엄지	괴물 엄지|손에서 떨어져 나왔지만 여전히 움직입니다.
$EN_RIGHT_MIDDLE_FINGER	중지	중지	괴물 중지|손에서 떨어져 나왔지만 여전히 희한한 손짓을 보입니다. 저렇게 무례할 수가!
$EN_RIGHT_RING_FINGER	약지	약지	괴물 약지|손에서 떨어져 나왔지만 여전히 움직입니다.
$EN_RIGHT_PINKY_FINGER	무명지	무명지	괴물 무명지|손에서 떨어져 나왔지만 여전히 움직입니다.
$EN_RIGHT_EYE	에즈틀리의 눈	에즈틀리의 눈	괴물 눈알|어둠의 권능으로 번뜩이며 비정상적으로 빠르게 움직이는 악의 눈입니다.
$EN_RIGHT_HAND	에즈틀리의 손	에즈틀리의 손	괴물 손|광신도들의 지도자는 이 괴물을 ""에즈틀리-테노크의 오른손""이라 부릅니다. 에즈틀리-테노크에 관해서 알려진 사실은 거의 없기 때문에, 이 괴물이 진정 그 두려운 마법사의 손인지, 아니면 그 흑마법으로 만들어낸 단순한 피조물인지는 확실하지 않습니다. 자세히 들여다보면 이 괴물은 왼쪽 손의 형상을 하고 있습니다. 이 얼마나 역설적인 가요.
$EN_FINGER	이즈틀리의 손가락	
$EN_ZELEMIR-CITADEL	젤레마	젤레마	강령술사|확고한 의지로 빛나고 있는 젤레마의 눈입니다.
$EN_ZELEMIR	젤레마	젤레마	강령술사|확고한 의지로 빛나고 있는 젤레마의 눈입니다.
$EN_HEALIE	힐쟁이	힐쟁이	비밀 보스임|설명임
$EN_MEANIE	깍쟁이	깍쟁이	비밀 보스임|설명임
$EN_STEALY	도둑놈	도둑놈	비밀 보스임|설명임
$EN_CRAZY	미친놈	미친놈	비밀 보스임|설명임
$EN_EZTLI	에즈틀리-테노크	에즈틀리-테노크	고대의 전설적인 마법사|오랜 시간 동안 잠들어있던 고대의 힘이, 드디어 깨어났습니다. 에즈틀리-테노크은 스스로를 신왕이라 자칭하며 이 세계를 지배했던 마법사입니다. 그 권능과 악의는 오직 마법사 자신의 그 꺾이지 않던 인내에나 비견할만할 것입니다.",
