flag	nick_name	flavor_name	flavor_text
$EN_SPEEDY	快	蟲	敏捷的亡者小怪|這些像蟲一般的生物有好幾排利齒,敏捷。<N><N>目擊者說它們是自腐爛了好幾星期，發脹了的亡者之中，爆出來的怪物。
$EN_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	蛇	敏捷的游泳小怪| 這些游泳的蟲子，來自于浮在水中的亡者。<N><N>也有人說_們是依賴魚和河蛇的屍體生長。
$EN_ARMORED SPEEDY	<RE>$EN_SPEEDY_NICK_NAME	鐵甲蟲	敏捷的小怪|這些蟲子亡者有一層厚厚的殼。<N><N>很多人認為這種硬殼來自屍體的骨頭，經消化後而成。
$EN_ARMORED_SPEEDY_W	<RE>$EN_SPEEDY_NICK_NAME	鐵甲蛇	敏捷的游泳武裝小怪| 這些游泳的蟲子亡者獲得了厚厚的硬殼和游泳對能力。<N><N>腐爛骨頭的惡臭與其他中人欲嘔的臭味實在威力十足！
$EN_ATTACKER	戰士	瘋狂食屍鬼	好戰的亡者|有些亡者就是比其他的更好勇鬥狠。<N><N>普通的亡者會盲目地跟蹤一個受害者，這些則會襲擊進入眼中的所有事物。
$EN_DARK ATTACKER	暗影拳擊手	暗黑食屍鬼	暗黑好戰的亡者|亡者腹中的腐敗氣體，透過毛孔滲透出來，這層厚厚的毒氣把怪物圍繞起來，使受害者看不見它們。
$EN_ATTACKER_W	<RE>$EN_ATTACKER_NICK_NAME	河流食屍鬼	游泳的好戰亡者|在墓坑的周圍，不乏發臭屍體襲擊打水村民的故事。<N><N>沒有人夠膽獨自去打水，只要瘋子才會去游泳。
$EN_ARMORED ATTACKER	<RE>$EN_ATTACKER_NICK_NAME	瘋狂騎士	好戰的武裝亡者|這些墮落騎士都是又惡毒又強壯的。<N><N>它們陰沉的呼喊通過地下墓穴，穿過荒野。
$EN_RAPID_ATTACKER	迅速攻擊	 	
$EN_APC	分裂體	怪物	小怪的宿主|這些發脹的屍體艱難地移動，看起來像要隨時爆開一樣。<N><N>牙齒不斷在幾張嘴巴中不斷長出來， 它們太大了，要狼吞虎嚥也難。
$EN_APC_W	<RE>$EN_APC_NICK_NAME	發臭的屍體	游泳的小怪宿主|這些亡者帶著死魚，污水與死亡氣息混合惡臭。<N><N>它們浮在水上，看起來隨時要爆開一樣。
$EN_ARMORED APC	鐵甲分裂體	鐵甲巨獸	武裝的小怪宿主|一團巨大的腐肉被一個巨甲保護著，<N><N>有人懷疑它一根骨頭也沒有。
$EN_DOUBLE APC	雙分裂	憎惡	分裂小怪的宿主| 這個怪物顏色噁心，體型浮腫。<N><N>這代表什麼呢？
$EN_RANGED ATTACKER_BASIC			隨著日子過去，一些古怪的過程開始腐蝕和扭曲亡者的身體。<N><N>目擊者回報受到沒有眼睛的<LQ>蛇人<RQ>噴吐膽汁的攻擊。
$EN_RANGED ATTACKER	遠程	毒蛇食屍鬼	噴射型的亡者|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_ARMORED RANGED ATTACKER	<RE>$EN_RANGED ATTACKER_NICK_NAME	毒蛇食屍鬼	武裝的噴射型的亡者|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_RANGED ATTACKER_W	<RE>$EN_RANGED ATTACKER_NICK_NAME	河社食屍鬼	游泳的噴射型的亡者|<RE>[$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT]
$EN_DARK	暗	影之蟲	敏捷的暗黑小怪|這些蟲子籠罩在厚厚的黑霧中，幾乎不可能擊中它們。
$EN_BRUTE	粗暴	死亡之蟲	強壯的亡者小怪|這些蒼白又像蟲的怪物移動緩慢，具有堅韌，皮革的皮膚，而不是脆弱的外膜。<N><N>雖然很容易跑贏它，但是它們會用無情與無止休的追趕去捕獲獵物。
$EN_ERROR	錯誤	錯誤	我是錯誤。|如果你讀到這段文字，代表敵人的資料有問題。如果找不到目標敵人，這個就是你的敵人。
$EN_SHEEP	羊	羊	美味的哺乳類動物|龍可以多年不進食，但_們進食時，吃的量是_們自己體重的好幾倍。這是牧羊人和他們的羊群最大的不安。
$EN_SPEEDY SHEEP	敏捷羊	敏捷羊	敏捷又美味的哺乳類動物| 部分羊適應了殘酷的環境，發展了結實的腿部肌肉。雖然沒有辦法跑得比龍快，但最少跑贏其他羊。
$EN_SUPER SHEEP	超級羊	超級羊	傳說中美味的哺乳類動物|龍族傳說中，一提到這種罕見的羊，阿舍麻維特羊那瑟薩，都帶著謙遜和虔誠的語氣。為迎接這種羊的降臨，神聖的龍族經文中詳述了一個複雜的儀式。這經文被傳統學者歸類為宗教文本，但新的研究重新把它歸類為食譜。
$EN_OZIMAL	奧斯蒙	奧斯蒙卡茲	亡者奴隸 l 它曾經是墓坑中的軍閥，但現在不過是舍理米爾的無意識的手下。<N>不過他的長袍依然漂亮。
$EN_TWIN	雙生子	雙生子	亡者的兄弟| 巴啊啊呀呀嘎嘎恤哈
$EN_RIGHT_INDEX_FINGER	食指	食指	怪物手指|雖然被人從手中砍了下來，不過手指也是有意識活動的。
$EN_RIGHT_THUMB	拇指	拇指	怪物手指|雖然被人從手中砍了下來，不過手指也是有意識活動的。
$EN_RIGHT_MIDDLE_FINGER	中指	中指	怪物手指| 這只被砍下來的手指看起來就在比不文手勢。下流！
$EN_RIGHT_RING_FINGER	無名指	無名指	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT
$EN_RIGHT_PINKY_FINGER	尾指	尾指	<RE>$EN_RIGHT_INDEX_FINGER_FLAVOR_TEXT
$EN_RIGHT_EYE	艾斯理之眼	艾斯理之眼	怪物眼睛|這邪惡的眼睛閃耀著黑暗的力量，並快速地移動。
$EN_RIGHT_HAND	艾斯理之手	艾斯理之手	怪物手|邪教領袖稱呼這個怪物為 <LQ>艾斯理-特諾奇的右手<RQ>鑒於對艾斯理-特諾奇的瞭解甚少，實在無法斷定是否那恐怖巫師的手，或是僅僅是他黑魔法的一個產物。仔細一看，好像是一隻左手。騙子！
$EN_ZELEMIR	舍理米爾	舍理米爾	死靈巫師| 舍理米爾的眼閃耀著堅定的決心。
$EN_EZTLI	艾斯理-特諾奇	艾斯理-特諾奇	上古傳奇巫師|一股古老的力量，長年沉睡後，如今終於覺醒了。艾斯理-特諾奇曾統治這個世界，自稱神王。他的力量與邪惡比起他堅定不移的耐心，有過則無不及。
$EN_ZELEMIR-CITADEL	<RE>$EN_ZELEMIR_NICK_NAME	<RE>$EN_ZELEMIR_FLAVOR_NAME	<RE>$EN_ZELEMIR_FLAVOR_TEXT
$EN_NORMAL_NOMONEY	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_EXP_PSI	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_NORMAL_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_FLAVOR_NAME	<RE>$EN_NORMAL_FLAVOR_TEXT
$EN_CULTIST_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
$EN_ARMORED CULTIST_LOWXP	<RE>$EN_ARMORED CULTIST_NICK_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_NAME	<RE>$EN_ARMORED CULTIST_FLAVOR_TEXT
$EN_NORMAL_W_LOWXP	<RE>$EN_NORMAL_NICK_NAME	<RE>$EN_NORMAL_W_FLAVOR_NAME	<RE>$EN_NORMAL_W_FLAVOR_TEXT
$EN_ARMORED_LOWXP	<RE>$EN_ARMORED_NICK_NAME	<RE>$EN_ARMORED_FLAVOR_NAME	<RE>$EN_ARMORED_FLAVOR_TEXT
$EN_SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_FLAVOR_NAME	<RE>$EN_SPEEDY_FLAVOR_TEXT
$EN_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_SPEEDY_W_FLAVOR_NAME	<RE>$EN_SPEEDY_W_FLAVOR_TEXT
$EN_ARMORED SPEEDY_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_NAME	<RE>$EN_ARMORED SPEEDY_FLAVOR_TEXT
$EN_ARMORED_SPEEDY_W_LOWXP	<RE>$EN_SPEEDY_NICK_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_NAME	<RE>$EN_ARMORED_SPEEDY_W_FLAVOR_TEXT
$EN_ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_FLAVOR_NAME	<RE>$EN_ATTACKER_FLAVOR_TEXT
$EN_DARK ATTACKER_LOWXP	<RE>$EN_DARK ATTACKER_NICK_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_NAME	<RE>$EN_DARK ATTACKER_FLAVOR_TEXT
$EN_ATTACKER_W_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ATTACKER_W_FLAVOR_NAME	<RE>$EN_ATTACKER_W_FLAVOR_TEXT
$EN_ARMORED ATTACKER_LOWXP	<RE>$EN_ATTACKER_NICK_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED ATTACKER_FLAVOR_TEXT
$EN_RAPID_ATTACKER_LOWXP	<RE>$EN_RAPID_ATTACKER_NICK_NAME	<RE>$EN_RAPID_ATTACKER_FLAVOR_NAME	<RE>$EN_RAPID_ATTACKER_FLAVOR_TEXT
$EN_APC_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_APC_W_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_W_FLAVOR_NAME	<RE>$EN_APC_W_FLAVOR_TEXT
$EN_ARMORED APC_LOWXP	<RE>$EN_ARMORED APC_NICK_NAME	<RE>$EN_ARMORED APC_FLAVOR_NAME	<RE>$EN_ARMORED APC_FLAVOR_TEXT
$EN_DOUBLE APC_LOWXP	<RE>$EN_DOUBLE APC_NICK_NAME	<RE>$EN_DOUBLE APC_FLAVOR_NAME	<RE>$EN_DOUBLE APC_FLAVOR_TEXT
$EN_ARMORED RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_ARMORED RANGED ATTACKER_FLAVOR_TEXT
$EN_RANGED ATTACKER_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_BASIC_FLAVOR_TEXT
$EN_RANGED ATTACKER_W_LOWXP	<RE>$EN_RANGED ATTACKER_NICK_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_NAME	<RE>$EN_RANGED ATTACKER_W_FLAVOR_TEXT
$EN_DARK_LOWXP	<RE>$EN_DARK_NICK_NAME	<RE>$EN_DARK_FLAVOR_NAME	<RE>$EN_DARK_FLAVOR_TEXT
$EN_BRUTE_LOWXP	<RE>$EN_BRUTE_NICK_NAME	<RE>$EN_BRUTE_FLAVOR_NAME	<RE>$EN_BRUTE_FLAVOR_TEXT
$EN_APC_NOATTACK_LOWXP	<RE>$EN_APC_NICK_NAME	<RE>$EN_APC_FLAVOR_NAME	<RE>$EN_APC_FLAVOR_TEXT
$EN_CULTIST_NOATTACK_LOWXP	<RE>$EN_CULTIST_NICK_NAME	<RE>$EN_CULTIST_FLAVOR_NAME	<RE>$EN_CULTIST_FLAVOR_TEXT
$EN_PSI SHEEP	<RE>$EN_SHEEP_NICK_NAME	<RE>$EN_SHEEP_FLAVOR_NAME	<RE>$EN_SHEEP_FLAVOR_TEXT
$EN_3_11_BOSS	BOSS		
$EN_FINGER	艾斯理之指		
$EN_HEALIE	回復	回復	秘密Boss|說明
$EN_MEANIE	狂暴	狂暴	秘密Boss|說明
$EN_STEALY	潛行	潛行	秘密Boss|說明
$EN_CRAZY	瘋狂	瘋狂	秘密Boss|說明
