flag	content
$LINE_MEET_BERSERKER_180_TEXT	Aspetta!
$LINE_MEET_BERSERKER_190_CHAR	$MCG
$LINE_MEET_BERSERKER_190_TEXT	Almeno dimmi il tuo nome!
$SCENE_SECOND_BATTLE_TITLE	La carovana dei morti
$LINE_SECOND_BATTLE_00_CHAR	$BER
$LINE_SECOND_BATTLE_00_TEXT	Ehi, gente della carovana! Avete delle scarpe?
$LINE_SECOND_BATTLE_10_CHAR	GUARDIA DELLA CAROVANA MALATA
$LINE_SECOND_BATTLE_10_TEXT	Per favore.... tributo... di Ozimal...
$LINE_SECOND_BATTLE_20_CHAR	$BER
$LINE_SECOND_BATTLE_20_TEXT	Uh-oh.
$LINE_SECOND_BATTLE_30_CHAR	$MCG
$LINE_SECOND_BATTLE_30_TEXT	Chi è questa gente?
$LINE_SECOND_BATTLE_40_CHAR	$BER
$LINE_SECOND_BATTLE_40_TEXT	Dobbiamo andarcene da qui, subito.
$LINE_SECOND_BATTLE_50_CHAR	$MCG
$LINE_SECOND_BATTLE_50_TEXT	Ma gli serve aiuto!
$LINE_SECOND_BATTLE_60_CHAR	$BER
$LINE_SECOND_BATTLE_60_TEXT	Ahaha. No.
$LINE_SECOND_BATTLE_70_CHAR	$MCG
$LINE_SECOND_BATTLE_70_TEXT	Non possiamo lasciarli e basta!
$LINE_SECOND_BATTLE_80_CHAR	$BER
$LINE_SECOND_BATTLE_80_TEXT	Hanno-la-Piaga.
$LINE_SECOND_BATTLE_90_CHAR	$MCG
$LINE_SECOND_BATTLE_90_TEXT	Ma noi due siamo immuni, giusto?
$LINE_SECOND_BATTLE_100_CHAR	$BER
$LINE_SECOND_BATTLE_100_TEXT	Non immuni al farci mangiare la faccia quando si trasformeranno.
$LINE_SECOND_BATTLE_110_CHAR	$MCG
$LINE_SECOND_BATTLE_110_TEXT	Trasformeranno?
$LINE_SECOND_BATTLE_120_CHAR	GUARDIA DELLA CAROVANA MALATA
$LINE_SECOND_BATTLE_120_TEXT	Ohhh. ArrraaAAAAaaggGGGHHHH!
$LINE_SECOND_BATTLE_130_CHAR	$BER
$LINE_SECOND_BATTLE_130_TEXT	Così.
$LINE_SECOND_BATTLE_140_CHAR	$BER
$LINE_SECOND_BATTLE_140_TEXT	Be', è stato bello conoscerti.
$LINE_SECOND_BATTLE_150_CHAR	$MCG
$LINE_SECOND_BATTLE_150_TEXT	Aspetta!
$LINE_SECOND_BATTLE_160_CHAR	$BER
$LINE_SECOND_BATTLE_160_TEXT	...
$LINE_SECOND_BATTLE_170_CHAR	$BER
$LINE_SECOND_BATTLE_170_TEXT	Ti senti bene?
$SCENE_TALK_BERSERKER_TITLE	Rovistando tra le provviste
$LINE_TALK_BERSERKER_00_CHAR	$MCG
$LINE_TALK_BERSERKER_00_TEXT	Quelle persone... sono diventate mostri!
$LINE_TALK_BERSERKER_10_CHAR	$BER
$LINE_TALK_BERSERKER_10_TEXT	Devi essere nuova di qui.
$LINE_TALK_BERSERKER_20_CHAR	$BER
$LINE_TALK_BERSERKER_20_TEXT	Questo è quello che succede a chi non sopravvive alla piaga.
$LINE_TALK_BERSERKER_30_CHAR	$MCG
$LINE_TALK_BERSERKER_30_TEXT	Eravamo proprio nello stesso posto di prima... quel luogo a metà strada...
$LINE_TALK_BERSERKER_40_CHAR	$MCG
$LINE_TALK_BERSERKER_40_TEXT	Questa valle è terribile! Dobbiamo andarcene da qui!
$LINE_TALK_BERSERKER_50_CHAR	$BER
$LINE_TALK_BERSERKER_50_TEXT	Pfff. Per favore, sono dieci anni che la gente tenta di scappare.
$LINE_TALK_BERSERKER_60_CHAR	$MCG
$LINE_TALK_BERSERKER_60_TEXT	Tutto questo sta andando avanti da dieci anni?!
$LINE_TALK_BERSERKER_70_CHAR	$BER
$LINE_TALK_BERSERKER_70_TEXT	Lasciami indovinare, tu vieni dalla capitale, vero?
$LINE_TALK_BERSERKER_80_CHAR	$MCG
$LINE_TALK_BERSERKER_80_TEXT	Sono la bibliotecaria reale...
$LINE_TALK_BERSERKER_90_CHAR	$BER
$LINE_TALK_BERSERKER_90_TEXT	E figurati.  Il Signore Reggente tiene la bocca ben chiusa su questa roba.
$LINE_TALK_BERSERKER_100_CHAR	$BER
$LINE_TALK_BERSERKER_100_TEXT	Scommetto che non sai neanche che la guerra è finita.
$LINE_TALK_BERSERKER_110_CHAR	$MCG
$LINE_TALK_BERSERKER_110_TEXT	La guerra è finita?! Ma... i soldati... dov'è che mandano tutte quelle truppe?
$LINE_TALK_BERSERKER_120_CHAR	$BER
$LINE_TALK_BERSERKER_120_TEXT	Salve, c'è nessuno in casa? Hai presente la malattia che trasforma la gente in mostri? Ce ne vuole per tenerla a bada!
$LINE_TALK_BERSERKER_130_CHAR	$MCG
$LINE_TALK_BERSERKER_130_TEXT	Tutto questo è... scusami, io... credo di aver bisogno di un buon libro e una bottiglia - no, due bottiglie di vino.
$LINE_TALK_BERSERKER_140_CHAR	$BER
$LINE_TALK_BERSERKER_140_TEXT	Ehi, guarda il lato positivo - almeno i revenant sono spariti.
$LINE_TALK_BERSERKER_150_CHAR	$BER
$LINE_TALK_BERSERKER_150_TEXT	Aspetta, non sono semplicemente spariti, sono MORTI!
$LINE_TALK_BERSERKER_160_CHAR	$BER
$LINE_TALK_BERSERKER_160_TEXT	Nessuno l'aveva mai fatto prima!
$LINE_TALK_BERSERKER_170_CHAR	$MCG
$LINE_TALK_BERSERKER_170_TEXT	Come?
$LINE_TALK_BERSERKER_180_CHAR	$BER
$LINE_TALK_BERSERKER_180_TEXT	I revenant sono invincibili... o almeno finora lo erano!
$LINE_TALK_BERSERKER_190_CHAR	$BER
$LINE_TALK_BERSERKER_190_TEXT	Oh, ragazzi, se non è questo il mio giorno fortunato!
$LINE_TALK_BERSERKER_200_CHAR	$BER
$LINE_TALK_BERSERKER_200_TEXT	Ho una nuova migliore amica con poteri magici segreti...
$LINE_TALK_BERSERKER_210_CHAR	$BER
$LINE_TALK_BERSERKER_210_TEXT	E anche una carovana abbandonata colma di ricchezze! Siamo ricchi! Ricchi ti dico!
$LINE_TALK_BERSERKER_220_CHAR	$BER
$LINE_TALK_BERSERKER_220_TEXT	Sono scarpe, quelle?
$SCENE_CAUGHT_BY_OZIMAL_TITLE	In arresto
$LINE_CAUGHT_BY_OZIMAL_00_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_00_TEXT	*$BER, quella è solo spazzatura...
$LINE_CAUGHT_BY_OZIMAL_10_CHAR	UOMO
$LINE_CAUGHT_BY_OZIMAL_10_TEXT	Banditi. Avrei dovuto immaginarlo.
$LINE_CAUGHT_BY_OZIMAL_20_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_20_TEXT	Chi siete?
$LINE_CAUGHT_BY_OZIMAL_30_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_30_TEXT	Io sono Ozimal Kaz, signore della guerra di questa Valle, e quel tributo appartiene a me.
$LINE_CAUGHT_BY_OZIMAL_40_CHAR	$MCG
$LINE_CAUGHT_BY_OZIMAL_40_TEXT	Sentite, sono appena arrivata qui, non avevo idea-
$LINE_CAUGHT_BY_OZIMAL_50_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_50_TEXT	Guardie, portate questi sporchi ladruncoli al Colosseo!
$LINE_CAUGHT_BY_OZIMAL_60_CHAR	OZIMAL
$LINE_CAUGHT_BY_OZIMAL_60_TEXT	Impareranno cosa succede a chi osa derubare Ozimal Kaz.
$SCENE_COLISEUM_INTRO_TITLE	Il Colosseo
$LINE_COLISEUM_INTRO_00_CHAR	$MCG
$LINE_COLISEUM_INTRO_00_TEXT	Tutto questo non promette nulla di buono...
$LINE_COLISEUM_INTRO_10_CHAR	PRIGIONIERA
$LINE_COLISEUM_INTRO_10_TEXT	Immagino che questa sia la tua prima esecuzione?
$LINE_COLISEUM_INTRO_20_CHAR	$MCG
$LINE_COLISEUM_INTRO_20_TEXT	Esecuzione?
$LINE_COLISEUM_INTRO_30_CHAR	PRIGIONIERA
$LINE_COLISEUM_INTRO_30_TEXT	Già. Tra un secondo apriranno i cancelli e un'orda di mostri verrà a divorarci.
$LINE_COLISEUM_INTRO_40_CHAR	$MCG
$LINE_COLISEUM_INTRO_40_TEXT	Quindi... stiamo per morire?
$LINE_COLISEUM_INTRO_50_CHAR	PRIGIONIERA
$LINE_COLISEUM_INTRO_50_TEXT	Eh già. Benvenuta nella Valle.
$LINE_COLISEUM_INTRO_60_CHAR	PRIGIONIERA
$LINE_COLISEUM_INTRO_60_TEXT	Non so te, principessa, ma io ho intenzione di vendere cara la pelle.
$LINE_COLISEUM_INTRO_70_CHAR	$MCG
$LINE_COLISEUM_INTRO_70_TEXT	*Aspetta! Se stiamo per morire, dovremmo almeno presentarci. Io mi chiamo $MCG.
$LINE_COLISEUM_INTRO_80_CHAR	PRIGIONIERA
$LINE_COLISEUM_INTRO_80_TEXT	Oh, ma certo. Piacere di conoscerti. Io sono...
$SCENE_COLISEUM_OUTRO_TITLE	Contro ogni probabilità
$LINE_COLISEUM_OUTRO_00_CHAR	GUARDIA
$LINE_COLISEUM_OUTRO_00_TEXT	Signore! I revenant sono morti!
$LINE_COLISEUM_OUTRO_10_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_10_TEXT	Impossibile. Nessuno ha mai ucciso un revenant.
$LINE_COLISEUM_OUTRO_20_CHAR	GUARDIA
$LINE_COLISEUM_OUTRO_20_TEXT	È stata quella nuova ragazza... Non so cos'ha fatto, ma i prigionieri sono sani e salvi e tutti i revenant sono morti.
$LINE_COLISEUM_OUTRO_30_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_30_TEXT	Interessante...
$LINE_COLISEUM_OUTRO_40_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_40_TEXT	Rimandali in cella.
$LINE_COLISEUM_OUTRO_50_CHAR	GUARDIA
$LINE_COLISEUM_OUTRO_50_TEXT	Sì, signore!
$LINE_COLISEUM_OUTRO_60_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_60_TEXT	Poi, invia una lettera al nostro amico, il collezionista.
$LINE_COLISEUM_OUTRO_70_CHAR	OZIMAL
$LINE_COLISEUM_OUTRO_70_TEXT	Digli che mi è capitato tra le mani qualcosa di molto interessante.
$SCENE_OZIMAL_PRISON_TITLE	Dietro le sbarre
$LINE_OZIMAL_PRISON_00_CHAR	$RAN
$LINE_OZIMAL_PRISON_00_TEXT	Va bene, come hai fatto?
$LINE_OZIMAL_PRISON_10_CHAR	$RAN
$LINE_OZIMAL_PRISON_10_TEXT	Ho sentito come... come se qualcosa mi tirasse il cuore in due direzioni contemporaneamente.
$LINE_OZIMAL_PRISON_20_CHAR	$MCG
$LINE_OZIMAL_PRISON_20_TEXT	Mi spiace, ma non ne ho idea. Tutto quello che so è che funziona.
$LINE_OZIMAL_PRISON_30_CHAR	$MCG
$LINE_OZIMAL_PRISON_30_TEXT	Siamo vivi, comunque! Questo dovrà pur contare qualcosa, no?
$LINE_OZIMAL_PRISON_40_CHAR	$RAN
$LINE_OZIMAL_PRISON_40_TEXT	Vivi e sul punto di andare fuori di testa, a quanto pare. Per gli dei, ho bisogno di bere qualcosa.
$LINE_OZIMAL_PRISON_50_CHAR	$MCG
$LINE_OZIMAL_PRISON_50_TEXT	Allora siamo in due.
$LINE_OZIMAL_PRISON_60_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_60_TEXT	*Psst! $MCG! Di qua!
$LINE_OZIMAL_PRISON_70_CHAR	$MCG
$LINE_OZIMAL_PRISON_70_TEXT	Come sai il mio nome?
$LINE_OZIMAL_PRISON_80_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_80_TEXT	Le guardie torneranno presto. Devi ascoltarmi se vuoi uscire viva da qui.
$LINE_OZIMAL_PRISON_90_CHAR	$MCG
$LINE_OZIMAL_PRISON_90_TEXT	Chi sei?
$LINE_OZIMAL_PRISON_100_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_100_TEXT	Un amico.
$LINE_OZIMAL_PRISON_110_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_110_TEXT	Ascolta attentamente: domani Ozimal cercherà di venderti ad un uomo vestito di rosso. Non posso permettere che accada.
$LINE_OZIMAL_PRISON_120_CHAR	$MCG
$LINE_OZIMAL_PRISON_120_TEXT	...
$LINE_OZIMAL_PRISON_130_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_130_TEXT	Ti manderà di nuovo nel Colosseo per dimostrare le tue capacità.
$LINE_OZIMAL_PRISON_140_CHAR	$MCG
$LINE_OZIMAL_PRISON_140_TEXT	Come fai a- ?
$LINE_OZIMAL_PRISON_150_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_150_TEXT	Quando succederà, provocherò un diversivo. Dovrai approfittarne per fuggire.
$LINE_OZIMAL_PRISON_160_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_160_TEXT	Prendi questi oggetti. Usali per comprare tutto l'aiuto che puoi dagli altri prigionieri. Dovrai essere pronta per domani.
$LINE_OZIMAL_PRISON_170_CHAR	$MCG
$LINE_OZIMAL_PRISON_170_TEXT	E perchè vorresti aiutarmi?
$LINE_OZIMAL_PRISON_180_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_180_TEXT	Per ora è più prudente che tu non lo sappia. Cercami al Monastero. Ti spiegherò tutto laggiù.
$LINE_OZIMAL_PRISON_190_CHAR	$MCG
$LINE_OZIMAL_PRISON_190_TEXT	E va bene.
$LINE_OZIMAL_PRISON_200_CHAR	UOMO MISTERIOSO
$LINE_OZIMAL_PRISON_200_TEXT	*$MCG, non devi cadere nelle sue mani.
$SCENE_COLISEUM_2_INTRO_TITLE	Una piccola dimostrazione
$LINE_COLISEUM_2_INTRO_00_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_00_TEXT	Allora, mio onorato ospite, come vanno le cose nel mondo esterno?
$LINE_COLISEUM_2_INTRO_10_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_INTRO_10_TEXT	La piaga ha completamente distrutto l'Impero Quaid. Nulla ne è rimasto, se non le disumane e contorte orde degli infetti.
$LINE_COLISEUM_2_INTRO_20_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_20_TEXT	Be', è qualcosa di cui rallegrarsi.
$LINE_COLISEUM_2_INTRO_30_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_INTRO_30_TEXT	Ora si sta diffondendo nel Regno di Ash. Se non verrà fermata, la malattia riuscirà a fare ciò che le armate del Quaid non hanno potuto.
$LINE_COLISEUM_2_INTRO_40_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_40_TEXT	Be', fintanto che gli ashiani terrorizzati continueranno a spedire gli infetti qui in esilio, noi signori della Valle resteremo in affari.
$LINE_COLISEUM_2_INTRO_50_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_50_TEXT	Le mostruosità della piaga sono piuttosto preziose per un uomo che se ne sa servire, eh?
$LINE_COLISEUM_2_INTRO_60_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_INTRO_60_TEXT	Basta chiacchiere. Dov'è questa ragazza?
$LINE_COLISEUM_2_INTRO_70_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_70_TEXT	È laggiù. Credo che troverete le sue abilità molto interessanti.
$LINE_COLISEUM_2_INTRO_80_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_INTRO_80_TEXT	Vedremo.
$LINE_COLISEUM_2_INTRO_90_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_90_TEXT	Entra in una sorta di catalessi, e i suoi compagni sembrano svanire nel nulla.
$LINE_COLISEUM_2_INTRO_100_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_100_TEXT	E tutt'intorno a lei i revenant cadono morti a dozzine, come se colpiti da una forza invisibile.
$LINE_COLISEUM_2_INTRO_110_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_INTRO_110_TEXT	Mostramelo.
$LINE_COLISEUM_2_INTRO_120_CHAR	OZIMAL
$LINE_COLISEUM_2_INTRO_120_TEXT	Guardie, liberate i revenant!
$SCENE_COLISEUM_2_OUTRO_TITLE	Una fuga rocambolesca
$LINE_COLISEUM_2_OUTRO_00_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_OUTRO_00_TEXT	Incredibile. Lei li vede per ciò che sono veramente.
$LINE_COLISEUM_2_OUTRO_10_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_OUTRO_10_TEXT	Riesce a combatterli nel loro stesso mondo.
$LINE_COLISEUM_2_OUTRO_20_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_20_TEXT	Allora, vi interessa?
$LINE_COLISEUM_2_OUTRO_30_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_OUTRO_30_TEXT	*Considera raddoppiato il tuo compenso. Non mi capita tutti i giorni di incontrare un mio pari.
$LINE_COLISEUM_2_OUTRO_40_CHAR	UOMO IN ROSSO
$LINE_COLISEUM_2_OUTRO_40_TEXT	Cos'è stato?
$LINE_COLISEUM_2_OUTRO_50_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_50_TEXT	Guardie!
$LINE_COLISEUM_2_OUTRO_60_CHAR	GUARDIA
$LINE_COLISEUM_2_OUTRO_60_TEXT	Signore, la parete meridionale del colosseo è crollata!
$LINE_COLISEUM_2_OUTRO_70_CHAR	GUARDIA
$LINE_COLISEUM_2_OUTRO_70_TEXT	I prigionieri sono scappati!
$LINE_COLISEUM_2_OUTRO_80_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_80_TEXT	COSA?
$LINE_COLISEUM_2_OUTRO_90_CHAR	OZIMAL
$LINE_COLISEUM_2_OUTRO_90_TEXT	Liberate i revenant! Inseguiteli!
$SCENE_RIVER_INTRO_TITLE	Oltre il fiume
$LINE_RIVER_INTRO_00_CHAR	$MCG
$LINE_RIVER_INTRO_00_TEXT	Tutti da questa parte!
$LINE_RIVER_INTRO_10_CHAR	$RAN
$LINE_RIVER_INTRO_10_TEXT	È inutile, stanno guadagnando terreno!
$LINE_RIVER_INTRO_20_CHAR	$MCG
$LINE_RIVER_INTRO_20_TEXT	Presto, oltre il fiume! Li affronteremo al guado!
$LINE_RIVER_INTRO_30_CHAR	$RAN
$LINE_RIVER_INTRO_30_TEXT	Ce ne sono troppi!
$LINE_RIVER_INTRO_40_CHAR	$BER
$LINE_RIVER_INTRO_40_TEXT	C'è solo una cosa da fare...
$LINE_RIVER_INTRO_50_CHAR	$BER
$LINE_RIVER_INTRO_50_TEXT	Folle rabbia suicida!!
$LINE_RIVER_INTRO_60_CHAR	$MCG
$LINE_RIVER_INTRO_60_TEXT	Forse hai ragione...
$LINE_RIVER_INTRO_61_CHAR	$MCG
$LINE_RIVER_INTRO_61_TEXT	Cos'è questa sensazione? È come se-
$LINE_RIVER_INTRO_70_CHAR	$BER
$LINE_RIVER_INTRO_70_TEXT	Come se volessi massacrare tutto quello che si muove e poi ballare tra la pioggia dei loro pezzettini come se fossero confetti alla più bella festa di compleanno della tua vita?
$LINE_RIVER_INTRO_71_CHAR	$MCG
$LINE_RIVER_INTRO_71_TEXT	...
$LINE_RIVER_INTRO_72_CHAR	$MCG
$LINE_RIVER_INTRO_72_TEXT	...Sì?
$SCENE_RIVER_OUTRO_TITLE	In fuga
$NARR_RIVER_OUTRO_00_TEXT	ATTO II
$NARR_RIVER_OUTRO_00_SUB_TEXT	*Io sputo negli occhi del traditore, l'assassino dell'onore.$NChe possa annegare nel suo stesso sangue.$NChe la sua carcassa marcisca nella terra.$NChe i ghiacci eterni prendano le sue ossa.
$NARR_RIVER_OUTRO_00_SUB_SUB_TEXT	*$N$N$N$N$N- solenne giuramento Quaid
$LINE_RIVER_OUTRO_00_CHAR	$BER
$LINE_RIVER_OUTRO_00_TEXT	Chi ne vuole ancora?
$LINE_RIVER_OUTRO_10_CHAR	$BER
$LINE_RIVER_OUTRO_10_TEXT	Vi strapperò la faccia e userò i vostri teschi come vasi per PIANTE DECORATIVE PER LA CASA!
$LINE_RIVER_OUTRO_20_CHAR	$MCG
$LINE_RIVER_OUTRO_20_TEXT	*$BER, li abbiamo sconfitti tutti. E poi le tue piante puzzerebbero di persone morte.
$LINE_RIVER_OUTRO_30_CHAR	$BER
$LINE_RIVER_OUTRO_30_TEXT	Oh.
$LINE_RIVER_OUTRO_40_CHAR	$BER
$LINE_RIVER_OUTRO_40_TEXT	Allora, ora cosa facciamo?
$LINE_RIVER_OUTRO_50_CHAR	$MCG
$LINE_RIVER_OUTRO_50_TEXT	Be', quel vecchio misterioso ha detto di andare a trovarlo al "Monastero"...
$LINE_RIVER_OUTRO_60_CHAR	$BER
$LINE_RIVER_OUTRO_60_TEXT	Ah, doveva parlare della Casa Capitolare dei Selini, nella parte settentrionale della Valle.
$LINE_RIVER_OUTRO_70_CHAR	$MCG
$LINE_RIVER_OUTRO_70_TEXT	Ci sono Monaci del Tempio di Ash qui in questa... colonia di quarantena?
$LINE_RIVER_OUTRO_80_CHAR	$BER
$LINE_RIVER_OUTRO_80_TEXT	Quale luogo migliore per un ospedale? Vieni, ti mostro la strada.
$LINE_RIVER_OUTRO_90_CHAR	$RAN
$LINE_RIVER_OUTRO_90_TEXT	Tu ti fidi di quel tizio?
$LINE_RIVER_OUTRO_100_CHAR	$MCG
$LINE_RIVER_OUTRO_100_TEXT	Be', è matto come un cavallo, certo, ma sembra leale. E non posso permettermi di essere schizzinosa in fatto di amicizie.
$LINE_RIVER_OUTRO_110_CHAR	$RAN
$LINE_RIVER_OUTRO_110_TEXT	No, non intendevo il pagliaccio, parlavo del vecchio.
$LINE_RIVER_OUTRO_120_CHAR	$MCG
$LINE_RIVER_OUTRO_120_TEXT	Se è un Monaco del Tempio, non abbiamo nulla da temere.
